Reference,Rock,Pâ€™[MPa],Permeability [nD],Porosity [%],SSA [m2g-1],Pore diameter [nm],Clay content [%],Breakthrough pressure [MPa]
Amann-Hildenbrand 2013,Opalinus Clay,25,6.9,11.6,39.0,14.0,60,4.1
Amann-Hildenbrand et al. 2015,Opalinus Clay,25,2.0,13,,10.0,80,17.5
Amann-Hildenbrand et al. 2015,Opalinus Clay,25,2.5,13,,10.0,80,14.0
Hildenbrand et al. 2004,Boom Clay,20,557,24.4,20.1,170,3,5.8
Hildenbrand et al. 2004,Boom Clay,20,24.3,23.5,23.6,55,40,6.0
Hildenbrand et al. 2004,Boom Clay,20,64.8,23.4,20.6,21,31,5.4
Hildenbrand et al. 2004,Boom Clay,20,17.2,23.4,20.6,21,31,5.2
Hildenbrand et al. 2004,Boom Clay,20,22.0,24.0,48.2,60,56,5.6
Hildenbrand et al. 2004,Boom Clay,20,23.3,24.0,48.2,60,56,6.1
Hildenbrand et al. 2004,Boom Clay,20,19.3,24.0,48.2,60,56,2.9
Kim & Makhnenko 2023a,Clayey Eau Claire shale,15,2634,8,3.93,35,33,0.40
Kim & Makhnenko 2024,Sandy Opalinus Clay,8.0,32.5,12,13.6,20,40,2.0
Kim & Makhnenko 2024,Sandy Opalinus Clay,8.5,30.9,12,13.6,20,40,3.0
Kim & Makhnenko 2024,Sandy Opalinus Clay,9.0,29.3,12,13.6,20,40,4.0
Kim & Makhnenko 2023b,Sandy Maquoketa,15,112,6,0.6,120,19.3,0.8
Kim & Makhnenko 2023b,Clayey Maquoketa,15,3.6,5,5.2,4,48.6,9.0
Kim & Makhnenko 2023b,Maquoketa,20,3.2,5,5.2,4,48.6,10.0
Kim & Makhnenko 2023b,Maquoketa,25,2.8,5,5.2,4,48.6,11.0
Makhnenko et al. 2017,Shaly Opalinus Clay,22,4.0,12.4,14.9,28,51.1,9.2
Makhnenko et al. 2017,Shaly Opalinus Clay,17,4.5,12.5,14.9,28,51.1,8.9
Makhnenko et al. 2017,Remolded Opalinus Clay,22,30,15.0,14.9,31,51.1,4.3
Makhnenko et al. 2017,Remolded Opalinus Clay,17,40,15.4,14.9,31,51.1,2.8
Makhnenko et al. 2017,Remolded Opalinus Clay,12,58,16.0,14.9,31,51.1,4.1
Wollenweber et al. 2010,Cenomanian limestone,10,7.0,6.0,3.8,30,0,0.74
Wollenweber et al. 2010,Cenomanian limestone,10,10.0,6.0,3.8,30,0,0.41
Wollenweber et al. 2010,Emscher marlstone,10,32,15.0,21.1,66,21,0.64
Wollenweber et al. 2010,Emscher marlstone,10,41,15.0,21.1,66,21,0.49
Wollenweber et al. 2010,Emscher marlstone,10,40,15.0,21.1,66,21,0.43
Angeli et al. 2009,Draupne Shale,5.5,60,23.7,11,27.5,40,3.6
Skurveit et al. 2012,Draupne Shale,9.7,12.3,21.0,11,27.5,40,4.3
Espinoza & Santamarina 2017,Precipitated Calcium Carbonate,5,787,54.5,10,90,0,0.53
Espinoza & Santamarina 2017,Kaolinite SA1,5,340,38.6,13,30,100,1.47
Espinoza & Santamarina 2017,Kaolinite SA1,5,1100,38.6,13,30,100,0.81
Espinoza & Santamarina 2017,Kaolinite RP2,5,1510,42.2,22,35,100,1.8
Espinoza & Santamarina 2017,Montmorillonite,5,86,41.0,320,8,100,0.85
Espinoza & Santamarina 2017,Montmorillonite,5,20,40.6,320,8,100,1.6
